name,type,episodes,rating,members
Majuu Sensen,OVA,3,6.23,320
Master of Epic: The Animation Age,TV,12,6.23,1139
Mori no Tonto-tachi,TV,23,6.23,278
Oishinbo: Nichibei Kome Sensou,Movie,1,6.23,199
Persona 2: Another Self,Special,1,6.23,1178
Shina Dark: Kuroki Tsuki no Ou to Souheki no Tsuki no Himegimi,Music,4,6.23,3730
Shounen Sunday CM Gekijou: InuYasha-hen,Special,2,6.23,1218
Street Fighter II: Yomigaeru Fujiwara-Kyou - Toki wo Kaketa Fighter-tachi,OVA,1,6.23,776
Super Doll Licca-chan: Licca-chan Zettai Zetsumei! Doll Knights no Kiseki,Movie,1,6.23,295
Thermae Romae x LOFT Collaboration,Special,1,6.23,467
Yumemiru Topo Gigio,TV,13,6.23,429
Chivas 1-2-3,OVA,2,6.22,2011
Duel Masters Victory V3,TV,51,6.22,364
Haitai Nanafa 2nd Season,TV,13,6.22,1915
I: Wish You Were Here,TV,4,6.22,6017
Kakomareta Sekai,ONA,1,6.22,786
Kenzen Robo Daimidaler Specials,Special,6,6.22,3816
Kimagure Robot,TV,10,6.22,1521
Kujakuou,OVA,3,6.22,949
Metal Skin Panic MADOX-01,OVA,1,6.22,2030
Miss Monochrome: Watashi dake no Monogatari,Music,1,6.22,1634
Ninku (Movie),Movie,1,6.22,887
Piece,Music,1,6.22,1143
Sacred Seven: Shirogane no Tsubasa Picture Drama,Special,2,6.22,1589
Time Bokan Series: Zenderman,TV,52,6.22,298
Backkom Sports,TV,52,6.21,131
Birthday Boy,Movie,1,6.21,1196
Chokin Senshi Cashman,OVA,1,6.21,366
Detatoko Princess,OVA,3,6.21,1220
Gekkou no Pierce: Yumemi to Gin no Bara no Kishidan,OVA,1,6.21,348
Giant Robo Gaiden Ginrei,OVA,3,6.21,2223
Hand Maid Mai,OVA,1,6.21,2621
Hime Gal?Paradise,OVA,9,6.21,563
Juuippiki no Neko,Movie,1,6.21,400
Kishin Houkou Demonbane,OVA,1,6.21,7024
Koutetsu Tenshi Kurumi Zero,OVA,3,6.21,3896
Kujibiki Unbalance,OVA,3,6.21,8291
Makasete Iruka!,OVA,1,6.21,893
Mashiro-iro Symphony: Airi ga Anata no Kanojo ni!?,Special,1,6.21,6004
Match Uri no Shoujo,Movie,1,6.21,158
Mezame no Hakobune,OVA,1,6.21,1867
Mobile Suit SD Gundam Mk IV,OVA,2,6.21,1756
Mutekiou Tri-Zenon,TV,22,6.21,483
Peeping Life: World History,ONA,40,6.21,361
Shingeki no Bahamut: Genesis Recap,Special,1,6.21,6785
Shining Hearts: Shiawase no Pan,TV,12,6.21,27273
Socket,OVA,1,6.21,157
Tobe! Kujira no Peek,Movie,1,6.21,286
Vanquished Queens,OVA,4,6.21,5462
Abarenbou Rikishi!! Matsutarou,TV,23,6.20,5568
Bakumatsu Gijinden Roman,TV,12,6.20,7816
Bakumatsu Rock,TV,12,6.20,18680
Baoh Raihousha,OVA,1,6.20,5520
Blame!,ONA,6,6.20,13802
D4 Princess,TV,24,6.20,1514
"Dance, Dance, Dance",Music,1,6.20,376
Fate/Zero Cafe,Movie,1,6.20,8130
Gulliver no Uchuu Ryokou,Movie,1,6.20,527
Hey! Bumboo,TV,130,6.20,677
Houkago no Pleiades,ONA,4,6.20,13618
Ichigeki Sacchuu!! Hoihoi-san,OVA,1,6.20,5404
Itsudatte My Santa!,OVA,2,6.20,8206
Jewelpet Movie: Sweets Dance Princess,Movie,1,6.20,581
Jishu Seisaku Movie Binchou-tan,Music,1,6.20,1781
Kishin Houkou Demonbane (TV) Specials,Special,2,6.20,571
Koisuru Tenshi Angelique: Chibi Character Adventure 2,Special,1,6.20,416
Kuroi Kikori to Shiroi Kikori,Movie,1,6.20,179
Licca-chan Fushigi na Mahou no Ring,OVA,2,6.20,295
Love?Love? Specials,Special,4,6.20,3935
M3: Sono Kuroki Hagane Recap,Special,1,6.19,1022
MAPS: Densetsu no Samayoeru Seijin-tachi,OVA,1,6.20,402
Metal Fighter Miku,TV,13,6.20,1377
Outlanders,OVA,1,6.20,2655
Sengoku Kitan Youtouden,OVA,3,6.20,982
Shadow Skill: Kurudaryuu Kousatsuhou no Himitsu,OVA,1,6.20,1449
Soul Worker: Your Destiny Awaits,ONA,5,6.20,430
Super Kuma-san,Special,1,6.20,534
Teekyuu 6 Specials,Special,2,6.20,677
Thermae Romae: Kodai Romajin ga Uchuu e,Special,1,6.20,749
Zoku Attacker You! Kin Medal e no Michi,TV,52,6.20,340
21 Emon,TV,39,6.19,314
Akai Kiba: Blue Sonnet,OVA,5,6.19,1024
Andromeda Stories,Special,1,6.19,737
Apfelland Monogatari,Movie,1,6.19,818
Barbapapa (1977),TV,48,6.19,236
Barbapapa Sekai wo Mawaru,TV,50,6.19,528
Ben-To Picture Drama,Special,6,6.19,6718
Chiba Pedal: Yowamushi Pedal to Manabu Jitensha Koutsuuanzen,ONA,6,6.20,1867
Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu Specials,Special,5,6.19,2744
Ginga e Kickoff!!: Natsuyasumi Special,Special,1,6.19,762
Gundam: G no Reconguista - From the Past to the Future,Special,1,6.20,736
Gunslinger Stratos,ONA,1,6.19,2666
Hengen Taima Yakou Karura Mau! Nara Onryou Emaki,Movie,1,6.19,506
Ichirin-sha,ONA,1,6.19,804
Kikou Kai Galient OVA,OVA,3,6.19,328
Mahou Gakuen Lunar! Aoi Ryuu no Himitsu,Movie,1,6.19,833
Mobile Suit SD Gundam Festival,Movie,1,6.19,913
Mou Hitotsu no Mirai wo.,ONA,3,6.19,6580
Muybridge no Ito,Movie,1,6.19,797
Samurai Gun Special,Special,1,6.19,370
Scan2Go,TV,52,6.19,642
Taisei Kensetsu: Sri Lanka Kousokudouro,Special,1,6.19,1906
The Samurai,OVA,1,6.19,839
Tobira wo Akete (1995),OVA,1,6.19,2351
Tsuritama: Harikitte Contest,Special,1,6.19,913
Vocaloid China Project Senden Animation,Music,5,6.19,1582
Wooser no Sono Higurashi: Ken to Pants to Wooser to,Special,1,6.19,2209
Zeonic Toyota Special Movie,ONA,2,6.19,1251
Big Order,OVA,1,6.18,17237
Chuumon no Ooi Ryouriten,Movie,1,6.18,374
Haitai Nanafa,TV,13,6.18,5907
Hakushon Daimaou,TV,52,6.18,692
Hana wa Saku: Touhoku ni Saku,Special,1,6.18,557
Hokuto no Ken: Legend of Heroes,Special,1,6.18,1906
Lemon Angel (1988),TV,9,6.18,567
Mahou Sensou,TV,12,6.18,104192
Marvel Disk Wars: The Avengers,TV,51,6.18,3953
Mousou Kagaku Series: Wandaba Style,TV,12,6.18,2077
Nisshin Seifun Group CM,Special,3,6.18,380
Oyako Club,TV,1818,6.18,160
SAI: Part 1 / Revolving... to the Core,Music,1,6.18,306
Seoul-yeok,Movie,1,6.18,405
Shin Calimero,TV,52,6.18,1016
Shinshaku Sengoku Eiyuu Densetsu: Sanada Juu Yuushi,Special,1,6.18,560
Soratobu Toshi Keikaku,Music,1,6.18,1163
Stratos 4 OVA: Stratos 4.1 - Dutch Roll,Special,1,6.18,239
The Borgman: Last Battle,OVA,1,6.18,386
Utsunomiko: Heaven Chapter,OVA,13,6.18,333
Ashinaga Ojisan,Special,1,6.17,232
Chain Chronicle: Short Animation,OVA,8,6.17,2814
"Chiisana Obake Acchi, Kocchi, Socchi",TV,50,6.17,1226
Chu Feng: B.E.E,ONA,6,6.17,11481
Eightman,TV,56,6.17,629
Gokujo.: Souda Onsen ni Ikou!!,Special,1,6.17,2288
Hitotsubu ni Kawaranu Ai wo Komete,ONA,1,6.17,1287
Isuca,TV,10,6.17,63638
Kakko Kawaii Sengen! 2,TV,10,6.17,324
Kara no Kyoukai: Mirai Fukuin - Manner Movie,Movie,1,6.17,4260
Kawasaki Frontale x Tentai Senshi Sunred,Special,4,6.17,363
Kaze no Matasaburou,OVA,1,6.17,371
Kaze no Toori Michi,Music,1,6.17,1902
Last Exile: Doyou no Asa,Special,3,6.17,626
Mouse,TV,12,6.17,10979
Nakedyouth,ONA,1,6.17,4125
Ozma,TV,6,6.17,11556
Saint Luminous Jogakuin,TV,13,6.17,1701
School Days,TV,12,6.17,279183
Sekishoku Elegy,OVA,1,6.17,397
Soliton no Akuma,Movie,1,6.17,412
Space?Dandy Picture Drama,Special,2,6.17,2399
Stitch!: Zutto Saikou no Tomodachi Special,Special,1,6.17,189
Tenshi na Konamaiki Specials,Special,13,6.18,504
The Choujo,OVA,1,6.17,1525
Wakusei Robo Danguard Ace: Uchuu Daikaisen,Movie,1,6.17,220
A.D. Police (TV),TV,12,6.16,5547
Ange Vierge,TV,12,6.16,21934
Catman Specials,Special,4,6.16,346
Eikyuu Kazoku,Movie,1,6.16,5305
First Squad: The Moment of Truth,Movie,1,6.16,25040
Kyoukai no Rinne,Special,1,6.16,2983
Mahou Shoujo Lyrical Nanoha ViVid: Special Program,Special,1,6.15,1026
Mori no Andou,ONA,1,6.17,623
Nyanbo!,TV,26,6.16,2886
Softenni Specials,Special,6,6.16,2902
Tatakae!! Iczer-1,OVA,3,6.16,3126
Youkai Watch: Best 10,Special,1,6.16,231
Yuuki no Baton,Music,1,6.16,549
Atagoal wa Neko no Mori,Movie,1,6.15,483
Bacterial Contamination,Music,1,6.15,1643
Choujin Locke: Shinsekai Sentai,OVA,2,6.15,530
Daikyouryuu Jidai,Movie,1,6.15,275
Detective Conan vs. Wooo,ONA,2,6.15,2587
Gunparade Orchestra OVA,OVA,3,6.15,394
Hajimari no Boukensha-tachi: Legend of Crystania,Movie,1,6.15,2893
Mahou no Tenshi Creamy Mami: Lovely Serenade,Music,1,6.15,385
Mitsu x Mitsu Drops,OVA,2,6.15,16436
Mitsuwano,OVA,1,6.15,2794
Nessa no Haou Gandalla,TV,26,6.15,637
Nodoka Mori no Doubutsu Daisakusen,Special,1,6.15,160
Ouritsu Uchuugun: Honneamise no Tsubasa - Pilot Film,Special,1,6.15,705
Q Transformers: Saranaru Ninki Mono e no Michi,TV,13,6.15,210
Salamander,OVA,3,6.15,597
Samurai Noodles: The Originator,ONA,1,6.15,254
School Days: Valentine Days,OVA,1,6.15,32917
Seraphim Call,TV,12,6.15,2434
Shounen Hollywood: Holly Stage for 49,TV,13,6.15,10776
Subarashii Sekai,Music,1,6.15,165
Takane no Jitensha,Special,1,6.15,1583
The iDOLM@STER Million Live! 1st Anniversary PV,Special,1,6.15,1292
Toufu Kozou,Movie,1,6.15,295
Yama Nezumi Rocky Chuck,TV,52,6.15,507
Angelique: Shiroi Tsubasa no Memoire,OVA,2,6.14,1871
Bakumatsu Rock: Mystery! Onsen Kaijiken ze yo!!,OVA,1,6.14,1455
Chouon Senshi Borgman 2: Shin Seiki 2058,OVA,3,6.14,319
Cleopatra D.C.,OVA,3,6.14,1074
Don Chuck Monogatari,TV,26,6.14,411
Extra,Music,1,6.14,2401
Fake Style II,Music,1,6.14,82
Hero Bank,TV,51,6.15,1946
Kaitouranma The Animation,OVA,2,6.14,1512
Kodai Ouja Kyouryuu King,TV,49,6.14,4402
Kumi to Tulip,Movie,1,6.14,999
Lime-iro Senkitan,TV,13,6.14,6176
Mahoutsukai Sally (Movie),Movie,1,6.14,202
Marginal Prince: Gekkeiju no Ouji-tachi - Tokyo Merry-Go-Round,Special,1,6.13,728
Mazinger ZIP!,TV,237,6.14,273
Melty Lancer,OVA,6,6.14,1035
Nandaka Velonica,TV,10,6.14,737
Precure kara Minna e no Ouen Movie,ONA,1,6.14,893
Rusty Nail,Music,1,6.14,417
Shin Hurricane Polymar,OVA,2,6.14,752
Stitch!: Itazura Alien no Daibouken - Uchuu Ichi no Oniichan,Special,1,6.14,219
Wind: A Breath of Heart (TV),TV,13,6.14,7778
Bohemian Rhapsody,Music,1,6.13,3005
"Diabolik Lovers More,Blood",TV,12,6.13,37924
Fake Style,Music,1,6.13,85
Fantasista Stella,OVA,3,6.13,486
Hello Kitty no Fushigi no Kuni no Alice,OVA,1,6.13,240
Houseki no Kuni,ONA,1,6.13,1156
Mahoutsukai Jiji,ONA,1,6.13,1039
Majokko Shimai no Yoyo to Nene Movie Extra: Hatsukoi - Mikako Komatsu,Special,1,6.13,863
Mighty Orbots,TV,13,6.13,210
Nineteen 19,OVA,1,6.13,1402
Ninku: Knife no Bohyou,Special,1,6.13,280
Rescue Me!,OVA,1,6.13,14381
Shin Strange+ Special,Special,1,6.13,1094
Shining Hearts: Shiawase no Pan Specials,Special,6,6.13,1572
Sprite: Between Two Worlds,OVA,2,6.13,810
Starry Tales: Seiza wa Toki wo Koete,Movie,1,6.13,286
Yonhyakunijuu Renpai Girl,Special,1,6.13,2852
Yoroiden Samurai Troopers Message,OVA,5,6.13,1299
AIKa R-16: Virgin Mission,OVA,3,6.12,13346
Alexander Senki Movie,Movie,1,6.12,1258
Arei no Kagami: Way to the Virgin Space,Movie,1,6.12,549
Bannou Yasai Ninninman,Movie,1,6.13,3612
Channel 5.5 3rd Season,ONA,4,6.12,280
Decorator,Music,1,6.12,880
Digimon Adventure 3D: Digimon Grand Prix!,Movie,1,6.12,4882
Downloader,Music,1,6.12,3680
Gaist Crusher,TV,51,6.12,1294
Garo: Guren no Tsuki Special,Special,1,6.10,930
Genocyber,OVA,5,6.12,12158
Ginga Tansa 2100-nen: Border Planet,Special,1,6.12,336
Green Green OVA,OVA,1,6.12,21620
Houma Hunter Lime,OVA,3,6.12,945
Kyouryuu Tankentai Born Free,TV,25,6.12,236
Mobile Suit SD Gundam Mk III,OVA,6,6.12,1805
Puchitto Gargantia Special,Special,1,6.12,1786
"Sagashita no wa Oheya, Mitsuketa no wa Mirai",ONA,1,6.12,204
Samurai Gun,TV,12,6.12,5381
Stitch!,TV,25,6.12,2569
World Fool News (TV),TV,12,6.12,999
Yonimo Osoroshii Nihon Mukashibanashi,OVA,3,6.12,655
Ys IV: The Dawn of Ys,Special,1,6.12,237
"Yuru Yuri: Doushite, Tomaranai, Tokimeki, Dokidoki, Paradox, Eternal",Special,1,6.13,12967
Anime Tenchou,OVA,1,6.11,6066
Believe,Music,1,6.11,616
Dallos,OVA,4,6.11,2520
Gakuen Handsome,TV,12,6.11,10696
Happy World!,OVA,3,6.11,4348
Kaitou Tenshi Twin Angel: Kyun Kyun?Tokimeki Paradise!! OVA,OVA,2,6.11,362
Kanojo wa Zombie,Music,1,6.11,387
Karasu Tengu Kabuto: Ougon no Me no Kemono,OVA,1,6.11,735
Kashou no Tsuki: Aki Kyougen,OVA,2,6.11,3621
Legend of Crystania OVA,OVA,3,6.11,2521
Lily C.A.T.,Movie,1,6.11,2068
Mangirl!: Asobu Henshuu Girl,Special,1,6.11,3933
Ojisan to Marshmallow Special,Special,1,6.11,6392
Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,Movie,1,6.11,1804
Shin SOS Dai Tokyo Tankentai,Movie,1,6.11,977
Shoka,Special,1,6.11,3355
Suki Desu Suzuki-kun!!,OVA,2,6.11,3514
Taboo Tattoo,TV,12,6.11,99460
Tooryanse,Music,1,6.11,305
Usaru-san,Special,4,6.11,822
Arata Kangatari Picture Drama,Special,6,6.10,1129
Bamboo Blade: CM Fanfu-Fufe-Fo,Special,24,6.10,455
Bio Hunter,OVA,1,6.10,5719
Buddha Saitan,Movie,1,6.10,3824
Byulbyul Iyagi,Movie,6,6.10,235
Cinnamon no Parade,ONA,1,6.10,186
Comet Lucifer: Garden Indigo no Shasou kara,Special,12,6.10,2769
Eiyuu Gaiden Mozaicka,OVA,4,6.10,558
Hanabi,Music,1,6.10,162
Hot Minute: Gudetama,Special,1,6.10,213
Kagami no Genon,Movie,1,6.10,1803
Kare Baka: Wagahai no Kare wa Baka de R,ONA,8,6.10,4391
Kikumana,ONA,1,6.10,4723
Piano,TV,10,6.10,5674
Rokushin Gattai GodMars (1982),Movie,1,6.10,304
Seikon no Qwaser Picture Drama,Special,16,6.10,8932
Show By Rock!!: Legend of Shingan Crimsonz,ONA,3,6.10,516
Strange+,TV,12,6.10,21006
The SoulTaker: Tamashii-gari - Komugi Daisakusen,Special,3,6.10,1266
White Album 2 Picture Drama,Special,2,6.10,2296
Yamato 2520,OVA,3,6.10,726
Yodaka no Hoshi (Music),Music,1,6.10,478
Backkom,TV,52,6.09,423
Chime,Music,1,6.09,3125
Geisters: Fractions of the Earth,TV,26,6.09,670
Himitsu no Akko-chan (Movie),Movie,1,6.09,228
Mai no Mahou to Katei no Hi,Special,1,6.09,1131
Majuu Senshi Luna Varga,OVA,4,6.09,640
Minna Atsumare! Falcom Gakuen SC,TV,12,6.09,1366
Miracle Shoujo Limit-chan,TV,25,6.09,236
Mu Di,Movie,1,6.09,145
Mujaki no Rakuen,OVA,3,6.09,12054
Musaigen no Phantom World: Limitless Phantom World,Special,7,6.09,6401
Nanmu Ichibyousokusai,Movie,1,6.09,251
Nurse Witch Komugi-chan R,TV,12,6.09,7376
Ra/Radio Noise*Planet,OVA,1,6.09,595
Rokushin Gattai GodMars: Juunanasai no Densetsu,OVA,1,6.09,408
Saint Beast: Seijuu Kourin-hen,TV,6,6.09,6177
Tonari no 801-chan R,OVA,1,6.09,1947
Toshi Densetsu Monogatari Hikiko,OVA,1,6.09,2963
Ultraviolet: Code 044,TV,12,6.09,3784
Xanadu Dragonslayer Densetsu,OVA,1,6.09,307
Zettai Bouei Leviathan: Mini Takibi Gekijou,Special,13,6.09,1203
Adachi-ga Hara,Movie,1,6.08,516
AIKa Zero,OVA,3,6.08,9595
Divergence Eve,TV,13,6.08,7833
GAME OVER feat. Hatsune Miku,Music,1,6.08,1400
Getter Robo (Movie),Movie,1,6.08,527
Goddamn,OVA,2,6.08,582
Gunslinger Stratos: The Animation - Kikan/Kaze no Yukue,ONA,1,6.08,1348
Hello Kitty no Kaguya-hime,OVA,1,6.08,176
Himitsu no Akko-chan: Umi da! Obake da!! Natsu Matsuri,Movie,1,6.08,200
Kikou Sennyo Rouran,TV,28,6.08,1049
Koneko no Rakugaki,Movie,1,6.08,547
Naikaku Kenryoku Hanzai Kyousei Torishimarikan Zaizen Joutarou,TV,11,6.08,627
Najica Dengeki Sakusen,TV,12,6.08,9605
Pankis! 2-jigen,TV,24,6.08,331
Sarutobi Ecchan,TV,26,6.08,357
Scoopers,OVA,1,6.08,195
Time Slip Ichimannen: Prime Rose,Special,1,6.08,584
Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary OVA,OVA,4,6.08,550
Tuzki: Love Assassin,ONA,1,6.08,309
Wakusei Robo Danguard Ace tai Konchuu Robot Gundan,Movie,1,6.08,232
Yes! BanG_Dream!,Music,1,6.06,353
Ai to Ken no Camelot: Mangaka Marina Time Slip Jiken,OVA,1,6.07,348
Antinotice,Music,1,6.07,744
Cream Lemon: Lemon Angel,TV,37,6.07,1068
Duel Masters Movie 1: Yami no Shiro no Maryuuou,Movie,1,6.07,748
Gensou Jotan Ellcia,OVA,4,6.07,940
Hana no Ko Lunlun: Konnichiwa Sakura no Kuni,Movie,1,6.07,423
Hate You,Music,1,6.07,1222
Idol Bouei-tai Hummingbird,OVA,4,6.07,825
La Primavera,Music,1,6.07,86
"Misenai Namida wa, Kitto Itsuka",Music,1,6.07,279
Oh! Super Milk-chan,TV,12,6.07,2757
Oreca Battle,TV,51,6.07,1632
Sono Kinisasete yo: My My Mai,OVA,2,6.07,1018
Strobe Light,Music,1,6.07,313
Tabidachi: Ami Shuushou,Movie,1,6.07,402
Taisei Kensetsu: Shin Doha Kokusai Kuukou,Special,1,6.07,1705
Ultraman USA,Movie,1,6.07,243
"Wake Up, Girl Zoo!",ONA,10,6.07,3308
"Wake Up, Girls! no Miyagi PR Yarasete Kudasai!",Special,1,6.10,535
Ayane-chan High Kick!,OVA,2,6.06,2439
Behind a Smile,Music,1,6.06,292
Cinderella Express,OVA,1,6.06,299
Defend Love,Music,1,6.06,1162
Diabolik Lovers OVA,OVA,1,6.06,13638
Gunparade Orchestra,TV,24,6.06,2816
Hatsukoi Monster,TV,12,6.06,37238
Himitsu Spark,Music,1,6.06,367
Inferno Cop Specials,Special,2,6.06,755
Juusou Kikou Dancougar Nova,TV,12,6.06,3326
Koi Hanabi,Music,1,6.06,235
Komaneko no Christmas: Maigo ni Natta Present,Movie,1,6.06,207
Mahou no Star Magical Emi: Semishigure,OVA,1,6.06,337
Mangirl!,TV,13,6.05,19015
Marginal Prince: Gekkeiju no Ouji-tachi,TV,13,6.06,7962
Maria?olic: Run Run Riru Ran Ran Rara,Music,1,6.06,2778
Nobiro Nobiro Daisuki na Ki,Music,1,6.06,168
Osiris no Tenbin,ONA,10,6.06,1447
Ryuusei Sentai Musumet,TV,13,6.06,1331
Saa Ikou! Tamagotchi,TV,12,6.06,487
Seihou Tenshi Angel Links,TV,13,6.06,4817
Shijin no Shougai,Movie,1,6.06,541
Teito Monogatari,OVA,4,6.06,3393
Turning Girls,ONA,7,6.06,4588
Yuugen Kaisha: Jiken File 00 - Hajimari wa Ayashiku mo Hanayaka ni,Special,1,6.06,265
Cheer Danshi!! Recap,Special,1,6.06,2537
Chiisana Jumbo,Movie,1,6.05,202
Chou Seimeitai Transformers Beast Wars Metals: Convoy Daihenshin!,Movie,1,6.05,389
Dore Dore no Uta,Music,1,6.05,1658
G-9,OVA,1,6.05,1693
Glass no Kamen Desu ga the Movie: Onna Spy no Koi! Murasaki no Bara wa Kiken na Kaori!?,Movie,1,6.05,433
Guardian Hearts-Power UP!,OVA,4,6.05,2402
Hoka Hoka Kazoku,TV,1428,6.05,194
Kaitou Tenshi Twin Angel,OVA,2,6.05,3442
Lemon Angel (1988/II),TV,8,6.05,462
Love?Love?,TV,9,6.05,15114
Memories Off,OVA,3,6.05,4488
Mobile Suit Gundam 0083: Stardust Memory Picture Drama - Uchuu no Kagerou 2,Special,1,6.05,269
Parol no Miraijima,Movie,1,6.05,1541
Samurai Girl Real Bout High School,TV,13,6.05,6689
Sengoku Kitan Youtouden Soushuuhen,Movie,1,6.05,3110
Shuten Douji,OVA,4,6.05,1036
Teinenpi Shoujo Haiji,ONA,8,6.05,216
vivi,Music,1,6.05,134
AIKa,OVA,7,6.04,17545
Angel Cop,OVA,6,6.04,5663
Babyshiba,Special,6,6.04,129
Birth,OVA,1,6.04,2129
Bouken! Iczer 3,OVA,6,6.04,1218
Busou Chuugakusei: Basket Army,ONA,5,6.04,4046
Deimos no Hanayome: Ran no Kumikyoku,OVA,1,6.04,2030
Gall Force: New Era,OVA,2,6.04,950
High School Agent,OVA,2,6.04,219
Install Pilot,Special,1,6.04,456
Kerokko Demetan,TV,39,6.04,533
Lesson XX,OVA,1,6.04,4574
Licca-chan to Yamaneko Hoshi no Tabi,OVA,1,6.04,189
Monster Hunter Stories: Ride On,TV,48,6.03,6848
Nayuta,OVA,1,6.04,549
Otome Nadeshiko Koi Techou,OVA,1,6.04,3074
Regalia: The Three Sacred Stars,TV,13,6.03,16766
Shining Hearts: Shiawase no Pan - Kokoro ga Todoita Picture Drama,Special,6,6.04,1292
Soul Buster,TV,12,6.01,11086
Strange+ Special,Special,1,6.04,1235
Tetsuwan Atom: Ao Kishi no Kan,Movie,1,6.04,282
Transformers Superlink Special,Special,1,6.04,418
Transformers: Scramble City,OVA,1,6.04,792
Anime Oyako Gekijou,TV,26,6.03,1074
Chiisana Ojisan,TV,30,6.03,478
Committed RED,Music,1,6.03,140
DD Hokuto no Ken 2 Ichigo Aji+,TV,12,6.03,1695
Forsaken,Music,1,6.03,583
Girlfriend (Kari),TV,12,6.03,24338
Himegoto,TV,13,6.03,42129
Kaitou Tenshi Twin Angel: Kyun Kyun?Tokimeki Paradise!!,TV,12,6.03,4669
Kokoro Toshokan: Communication Clips,Special,1,6.03,455
Kotetsu no Daibouken,OVA,2,6.03,1420
Mahou Shoujo Nante Mou Ii Desukara.,TV,12,6.03,13654
Minna Agechau?,OVA,1,6.03,690
Petit Eva: Evangelion@School,ONA,24,6.03,15734
Shihaisha no Tasogare,OVA,1,6.03,4377
Super Mario World: Mario to Yoshi no Bouken Land,OVA,1,6.02,163
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,TV,12,6.02,37993
Avenger,TV,13,6.02,12286
Babel Nisei (1992),OVA,4,6.02,1074
Bounty Hunter: The Hard,OVA,1,6.02,430
Chocotan!,Special,1,6.02,2923
Chouon Senshi Borgman: Lovers Rain,Movie,1,6.02,404
Cyclops Shoujo Saipuu,ONA,12,6.02,15329
Firestorm,TV,26,6.02,615
G-On Riders,TV,13,6.02,2606
Gokiburi-tachi no Tasogare,Movie,1,6.02,794
Ishida to Asakura,TV,12,6.02,9800
Kingdom of Chaos: Born to Kill,OVA,4,6.02,496
Kizuna (Special),Special,1,6.02,394
La Rose de Versailles,Special,1,6.02,1812
Match Shoujo,ONA,1,6.02,242
"Mobile Suit SD Gundam Musha, Knight, Commando",Movie,2,6.02,860
"Oyaji no, Imo no Kamisama.",Special,1,6.02,202
Sailor Victory,OVA,2,6.02,801
Soul Link Special,Special,1,6.02,1973
Three Monks,Movie,1,6.02,196
4-Day Weekend,Music,1,6.01,1712
Ashita e Mukau Hito,Music,1,6.02,105
Baton,Movie,3,6.01,1482
Chokkyuu Hyoudai Robot Anime: Straight Title,TV,12,6.01,1399
DusaN,Music,1,6.01,419
Full Moon Party,Music,1,6.01,1020
Guardian Hearts,OVA,6,6.01,5409
Hipira-kun ONA,ONA,2,6.01,318
"Ima, Futari no Michi",Special,1,6.01,352
Jack to Mame no Ki (1989),OVA,1,6.01,630
Kara The Animation,TV,5,6.01,572
Kotoura-san: Haruka no Heya,ONA,6,6.01,9641
Otaku no Seiza,OVA,2,6.01,378
Princess Rouge,OVA,2,6.01,1025
Ryo,Movie,1,6.01,8687
SOS TV Walpurgis Night Fever,ONA,11,6.01,422
Techno Police 21C,Movie,1,6.01,402
Ulysses 31 Pilot,Special,1,6.01,218
Aoi Sekai no Chuushin de,Special,3,6.00,25693
Comet Lucifer,TV,12,6.00,66659
Gdleen,OVA,1,6.00,408
Kodomo no Keijijougaku,ONA,1,6.00,543
Medamayaki no Kimi Itsu Tsubusu?,Special,4,6.00,712
Nanairo Kakumei,Special,3,6.00,477
Planet:Valkyrie,ONA,1,6.00,883
Rio: Rainbow Gate!,TV,13,6.00,22396
Sekai de Ichiban Tsuyoku Naritai!,TV,12,6.00,26513
Sekai Kei Sekai Ron,OVA,1,6.00,644
Shin Onimusha: Dawn of Dreams the Story,OVA,1,6.00,695
Sora Iro no Tane,Special,1,6.00,2016
T.P. Sakura: Time Paladin Sakura,OVA,2,6.00,2784
The Epic Of ZektBach,OVA,1,6.00,2792
6?Princess,Music,1,5.99,1807
Cosplay Complex,OVA,3,5.99,8706
D-1 Devastator,OVA,2,5.99,320
Dededen,Special,5,5.99,158
Dibetagurashi: Ahiru no Seikatsu,TV,39,5.99,586
Early Reins,OVA,1,5.99,1902
First Squad,Music,1,5.99,4946
Ghibli ga Ippai Special Short Short,Special,10,5.99,733
Gun x Sword-san,Special,13,5.99,2168
Hoshizora Kiseki,ONA,1,5.99,7674
Idol Project,OVA,4,5.99,958
Kakyuusei 2: Hitomi no Naka no Shoujo-tachi,TV,13,5.99,3334
Katsura Hime,Movie,1,5.99,116
Kita e: Pure Session,Music,1,5.99,212
Melody,ONA,1,5.99,1018
Nenga no Kizuna,ONA,1,5.99,178
Nexus,Music,1,5.99,1884
SD Gundam Gaiden,OVA,4,5.99,1467
Si Ling Bianma: Zhi Shijie Caozong Zhe,ONA,12,5.99,563
Space Station No.9,Music,1,5.99,1629
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Special,1,5.99,718
Beast Saga,TV,38,5.98,861
Boku wa Kuma,Music,1,5.98,985
Crazy for It,Movie,1,5.98,539
Donyatsu Specials,Special,2,5.98,231
Dream Creator feat. GUMI,Music,1,5.98,571
